Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-L5-A8NF-01A	0.0900465019696195	0	0.0976945498665794	0	0	0.205650981986924	0	0.00651819871438514	0.0706526510648354	0	0	0.0196119650590512	0	0.249072956711141	0.0757156779750907	0.143759531959384	0	0	0.0146473697722111	0	0	0.0266296149207784	0.44	0.0329763286001992	1.07841856772813
TCGA-Z6-A9VB-01A	0.0649004920348381	0	0.245215916137193	0.0218803589566987	0	0.149305399539724	0.0752560888864668	0.0425684549852601	0.0226161082202218	0	0.0316395355606286	0	0.00014990605278414	0.0799627848546147	0.0173093257267759	0.121882844182737	0.0573112158290433	0.0148109670259016	0.0549290379763994	0	0	0.000261564030712738	0.159	0.088540534957736	1.02607479651435
TCGA-L5-A4OP-01A	0.0954504931298112	0	0.175701855721391	0.0442135272761977	0	0.336778114951029	0.0270784135639643	0.0782926174929249	0.014105580998584	0	0.034623113357398	0	0.00399505577772858	0.0374128219013984	0.0340790689548103	0.0790900097851053	0.0070223749924429	0.0138206291222738	0	0.0183363229749415	0	0	0.134	0.0995309410329985	1.0443505634043
TCGA-L5-A8NH-01A	0.0693679963712661	0	0.165458824570843	0.0763963481245444	0	0.267772277686149	0.02167690805127	0.0855707222783062	0.0570204081668865	0	0.0203217687591571	0	0.0113700542116948	0.0397836301538781	0.0603747000238814	0.0784283799506109	0.00722108641011711	0.0135055461863437	0	0.0257313490550513	0	0	0.224	0.0693830077962777	1.05536198513594
TCGA-LN-A7HW-01A	0.00121888570135704	0	0.0114248282214284	0	0.0716879102418244	0.392210607865268	0	0	0	0	0.0405681841361088	0.000532053227346753	0.0121304157820597	0.398252211492485	0.00397083629856778	0	0	0	0	0.068004067033554	0	0	0.027	0.180691043097005	1.05056632372409
TCGA-L7-A56G-01A	0.000731814927849676	0	0.0777978196781145	0	0	0.287651109493628	0	0.0736166807992018	0.00553986634991587	0	0.0199413414780158	0.0235221583307043	0.030468832525346	0.154632457253098	0.225717269950647	0	0.0898237780509346	0	0	0.0105568711625453	0	0	0.014	0.217544213241042	1.02040502024818
TCGA-LN-A7HV-01A	0.050205622798963	0	0.142459020296791	0.0509762447443462	0	0.0732758644730258	0.0434253418957087	0.0290847813869823	0.00817880317993554	0	0.0518022109924788	0.00852070822244194	0.0234667716116344	0.159274909381231	0.0124071304298545	0.14153195054266	0.0791874459126689	0.0588997835125495	0.0275950218584137	0.0156798944857039	0	0.024028494274612	0.0639999999999999	0.132532083117687	1.02050244441639
TCGA-V5-A7RE-11A	0.0691999226749637	0	0.0241966243133305	0.201937703592195	0	0.0984342406729342	0.0555944802151252	0.0385964794201806	0.147960845875771	0	0.00414486554893438	0.0317524182029884	0.00481081544133529	0.0522633689873727	0.0806566783871692	0.0844262118891454	0.052933416004845	0.0329628405259259	0.0172098197170501	0	0	0.00291926853073274	0.039	0.160988222807456	1.02805421178322
TCGA-IG-A5S3-01A	0.127790834747065	0	0.0361453530868554	0.0505074467257982	0	0.0904435804255208	0.0294209741336612	0.108352977158808	0.0575551326847791	0.00198460448629017	0	0.0235234400937059	0	0.130662756652486	0.19865322817991	0	0.0598659283572985	0	0.0850937432678212	0	0	0	0.086	0.124988233820563	1.05061944938399
TCGA-L5-A4OT-01A	0.0728063608008197	0	0.0168928066818361	0.00113198892030142	0	0.376323393729613	0.026868168071493	0.0323621446806235	0.0572669932247109	0	0.0317491556999039	0	0.00904950061242893	0.0282616441419802	0.0794224548720672	0.138779781604854	0.0373695833295404	0	0.0648142700253345	0.016048715514556	0.0108530380899371	0	0.343	0.0483415372736167	1.06702015940029
